SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.01879812,51,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,1,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,2,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,3,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,4,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,5,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,6,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,7,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,8,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,9,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,10,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,11,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,12,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,13,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,14,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,15,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,16,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,17,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,18,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,19,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,20,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,21,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,22,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,23,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,24,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,25,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,26,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,27,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,28,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,29,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,30,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,31,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,32,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,33,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,34,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,35,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,36,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,37,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,38,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,39,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,40,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,41,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,42,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,43,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,44,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,45,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,46,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,47,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,48,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,49,0.53152876,6501,7,0,2,0,2
